S1,S2,S3,S4,S5,S6,S7
0.24,0.0064,0.0121999999999999,0.0098,1.3719999999999992e-05,0.000784,6.997199999999996e-06
0.16,-0.0031999999999999,0.0002,0.0002,-4.0000000000000014e-08,0.0,-1.8200000000000004e-08
0.22,0.0036,0.0121999999999999,0.0098,1.3719999999999992e-05,0.000588,6.987399999999996e-06
1.08,0.8248,2.7941,1.4114,1.4718209999999998,1.2987920000000002,1.240881715
0.2,-0.0024,0.0036,0.0041,-1.1500000000000002e-06,0.000178,-2.360000000000001e-06
0.22,0.002,0.0104,0.0085,1.7449999999999997e-05,0.0006979999999999,6.990399999999998e-06
0.1699999999999999,-0.0016999999999999,0.0002,0.0002,-4.0000000000000014e-08,-0.0,-1.8200000000000004e-08
0.18,0.0004,0.0036,0.0032,-0.0,6.400000000000001e-05,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.01,0.0234,0.0162,8.747999999999998e-05,0.00162,4.519799999999999e-05
0.22,0.0036,0.0121999999999999,0.0098,1.3719999999999992e-05,0.000588,6.987399999999996e-06
1.08,0.8248,2.7941,1.4114,1.4718209999999998,1.2987920000000002,1.240881715
0.2,-0.0024,0.0036,0.0041,-1.1500000000000002e-06,0.000178,-2.360000000000001e-06
0.22,0.002,0.0104,0.0085,1.7449999999999997e-05,0.0006979999999999,6.990399999999998e-06
0.1699999999999999,-0.0016999999999999,0.0002,0.0002,-4.0000000000000014e-08,-0.0,-1.8200000000000004e-08
0.18,0.0004,0.0036,0.0032,-0.0,6.400000000000001e-05,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.01,0.0234,0.0162,8.747999999999998e-05,0.00162,4.519799999999999e-05
0.24,0.0064,0.0121999999999999,0.0098,1.3719999999999992e-05,0.000784,6.997199999999996e-06
0.16,-0.0031999999999999,0.0002,0.0002,-4.0000000000000014e-08,0.0,-1.8200000000000004e-08
0.2,-0.0024,0.0036,0.0041,-1.1500000000000002e-06,0.000178,-2.360000000000001e-06
0.22,0.002,0.0104,0.0085,1.7449999999999997e-05,0.0006979999999999,6.990399999999998e-06
0.1699999999999999,-0.0016999999999999,0.0002,0.0002,-4.0000000000000014e-08,-0.0,-1.8200000000000004e-08
0.18,0.0004,0.0036,0.0032,-0.0,6.400000000000001e-05,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.01,0.0234,0.0162,8.747999999999998e-05,0.00162,4.519799999999999e-05
0.24,0.0064,0.0121999999999999,0.0098,1.3719999999999992e-05,0.000784,6.997199999999996e-06
0.16,-0.0031999999999999,0.0002,0.0002,-4.0000000000000014e-08,0.0,-1.8200000000000004e-08
0.22,0.0036,0.0121999999999999,0.0098,1.3719999999999992e-05,0.000588,6.987399999999996e-06
1.08,0.8248,2.7941,1.4114,1.4718209999999998,1.2987920000000002,1.240881715
0.1699999999999999,-0.0016999999999999,0.0002,0.0002,-4.0000000000000014e-08,-0.0,-1.8200000000000004e-08
0.18,0.0004,0.0036,0.0032,-0.0,6.400000000000001e-05,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.01,0.0234,0.0162,8.747999999999998e-05,0.00162,4.519799999999999e-05
0.24,0.0064,0.0121999999999999,0.0098,1.3719999999999992e-05,0.000784,6.997199999999996e-06
0.16,-0.0031999999999999,0.0002,0.0002,-4.0000000000000014e-08,0.0,-1.8200000000000004e-08
0.22,0.0036,0.0121999999999999,0.0098,1.3719999999999992e-05,0.000588,6.987399999999996e-06
1.08,0.8248,2.7941,1.4114,1.4718209999999998,1.2987920000000002,1.240881715
0.2,-0.0024,0.0036,0.0041,-1.1500000000000002e-06,0.000178,-2.360000000000001e-06
0.22,0.002,0.0104,0.0085,1.7449999999999997e-05,0.0006979999999999,6.990399999999998e-06
